a,apple,fruit,05,05
b,boba,dessert,04,07
c,cookie,dessert,06,07
d,donut,sweets,05,06
e,eggs,protein,04,07
f,fish,meat,04,04
g,grape,fruit,05,05
h,ham,meat,03,04
i,icecream,dessert,07,06
j,jello,sweets,05,06
k,kale,vegetable,04,09
l,lime,fruit,04,05
m,milk,dairy,04,05
n,nutella,sweets,07,06
o,orange,fruit,06,05
p,pineapple,fruit,09,05
q,quinoa,grain,06,05
r,rice,grain,04,05
s,strawberry,fruit,10,05
t,toast,grain,05,05
u,udon,noodle,04,06
v,vanilla,spice,07,05
w,watermelon,fruit,10,05
x,ximenia,fruit,07,05
y,yogurt,dairy,06,05
z,ziti,pasta,04,05
ctruo016,1024,2345,01234,2345678
